navn,kategori,plattform,jurisdiksjon,bak_gateway,kilde_dato
Akershus fylkeskommune,Fylkeskommuner,OTHER,Undetermined,nei,2026-06-29
Buskerud fylkeskommune,Fylkeskommuner,OTHER,Undetermined,nei,2026-06-29
Agder fylkeskommune,Fylkeskommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Finnmark fylkeskommune,Fylkeskommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Innlandet fylkeskommune,Fylkeskommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Møre og Romsdal fylkeskommune,Fylkeskommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Nordland fylkeskommune,Fylkeskommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Rogaland fylkeskommune,Fylkeskommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Telemark fylkeskommune,Fylkeskommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Troms fylkeskommune,Fylkeskommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Trøndelag fylkeskommune,Fylkeskommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Vestfold fylkeskommune,Fylkeskommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Vestland fylkeskommune,Fylkeskommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Østfold fylkeskommune,Fylkeskommuner,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
