navn,kategori,plattform,jurisdiksjon,bak_gateway,kilde_dato
Sykehuset Østfold HF,Helseforetak,OTHER,Undetermined,nei,2026-06-29
Akershus universitetssykehus HF,Helseforetak,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Finnmarkssykehuset HF,Helseforetak,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Helgelandssykehuset HF,Helseforetak,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Helse Bergen HF,Helseforetak,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Helse Fonna HF,Helseforetak,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Helse Førde HF,Helseforetak,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Helse Midt-Norge RHF,Helseforetak,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Helse Møre og Romsdal HF,Helseforetak,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Helse Nord RHF,Helseforetak,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Helse Nord-Trøndelag HF,Helseforetak,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Helse Stavanger HF,Helseforetak,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Helse Sør-Øst RHF,Helseforetak,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Helse Vest RHF,Helseforetak,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Nordlandssykehuset HF,Helseforetak,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Oslo universitetssykehus HF,Helseforetak,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
St. Olavs hospital HF,Helseforetak,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Sykehusapotekene HF,Helseforetak,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Sykehuset Innlandet HF,Helseforetak,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Sykehuset Telemark HF,Helseforetak,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Sykehuset i Vestfold HF,Helseforetak,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Sykehuspartner HF,Helseforetak,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Sørlandet sykehus HF,Helseforetak,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Universitetssykehuset Nord-Norge HF,Helseforetak,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Vestre Viken HF,Helseforetak,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
