navn,kategori,plattform,jurisdiksjon,bak_gateway,kilde_dato
Arkitektur- og designhøgskolen i Oslo,Universiteter og høgskoler,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Dronning Mauds Minne Høgskole,Universiteter og høgskoler,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Høgskolen i Molde,Universiteter og høgskoler,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Høgskolen i Østfold,Universiteter og høgskoler,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Høgskulen i Volda,Universiteter og høgskoler,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Høgskulen på Vestlandet,Universiteter og høgskoler,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Kunsthøgskolen i Oslo,Universiteter og høgskoler,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Lovisenberg diakonale høgskole,Universiteter og høgskoler,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
NLA Høgskolen,Universiteter og høgskoler,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
NTNU,Universiteter og høgskoler,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Nord universitet,Universiteter og høgskoler,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Norges handelshøyskole (NHH),Universiteter og høgskoler,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Norges idrettshøgskole,Universiteter og høgskoler,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Norges miljø- og biovitenskapelige universitet (NMBU),Universiteter og høgskoler,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Norges musikkhøgskole,Universiteter og høgskoler,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
OsloMet – storbyuniversitetet,Universiteter og høgskoler,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Politihøgskolen,Universiteter og høgskoler,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Samisk høgskole,Universiteter og høgskoler,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
UiT Norges arktiske universitet,Universiteter og høgskoler,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Universitetet i Agder,Universiteter og høgskoler,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Universitetet i Bergen,Universiteter og høgskoler,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Universitetet i Innlandet,Universiteter og høgskoler,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Universitetet i Stavanger,Universiteter og høgskoler,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
Universitetet i Sørøst-Norge,Universiteter og høgskoler,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
VID vitenskapelige høgskole,Universiteter og høgskoler,US_MICROSOFT,United States (CLOUD Act),nei,2026-06-29
MF vitenskapelig høyskole,Universiteter og høgskoler,US_MIXED,United States (CLOUD Act),nei,2026-06-29
Universitetet i Oslo,Universiteter og høgskoler,US_MIXED,United States (CLOUD Act),nei,2026-06-29
